longName,wyId
Adelino André  Vieira Freitas,14940
Mario Mandžukić,14943
Sebastian Polter,14944
Giovanni-Guy Yann Sio,14945
Ben Zolinski,14960
Oliver Baumann,14979
Oliver Sorg,14988
Daniel Caligiuri,14989
Fallou Diagne,14990
Matthias Ginter,14991
Karim Guédé,14992
Jonathan Schmid,14997
Julian Schuster,14998
Ivan Santini,15004
Marc-André ter Stegen,15008
Dante Bonfim da Costa Santos,15010
Håvard Nordtveit,15012
Oscar Wendt,15014
Matthias Zimmermann,15015
Patrick Herrmann,15018
Tony Jantschke,15019
Mathew Leckie,15020
Roman Petrovich Neustädter,15022
Marco Reus,15024
Samuel Sahin-Radlinger,15031
Ron-Robert Zieler,15032
Konstantin Rausch,15039
Manuel Schmiedebach,15050
Lars Stindl,15051
Mame Biram Diouf,15054
Tobias Sippel,15061
Kevin Trapp,15062
Willi Orban,15069
Olcay Şahan,15076
Nicolai Jørgensen,15080
Sandro Wagner,15085
Thomas Kraft,15090
Roman Hubník,15094
Christoph Janker,15095
José Luis Morales Nogales,15098
Fabian Lustenberger,15103
Raffael Caetano de Araújo,15107
Dominik Maroh,15122
Marvin Plattenhardt,15125
Philipp Wollscheid,15126
Daniel Didavi,15129
Mike Frantz,15131
Timothy Chandler,15139
Alexander Esswein,15141
Róbert Mak,15142
Stefan Ortega,15146
Onel Lázaro Hernández Mayea,15158
Fabian Klos,15168
Loris Karius,15175
Stefan Bell,15178
Niko Bungert,15179
Julian Baumgartlinger,15188
Yunus Mallı,15191
Nicolai Müller,15192
Eugen Polanski,15193
Marcel Risse,15194
Zoltán Stieber,15196
Jean-Eric Maxim Choupo-Moting,15198
Mario Gavranović,15199
Ádám Szalai,15200
Anthony Ujah,15201
Gábor Király,15206
Antonio Rukavina,15214
Christopher Schindler,15215
Sebastian Maier,15225
Kevin Volland,15231
Bobby Shou Wood,15232
Thomas Kessler,15235
Sebastian Jung,15244
Gordon Schildenfeld,15245
Matthias Lehmann,15253
Alexander Meier,15254
Sebastian Rode,15255
Pirmin Schwegler,15256
Timo Horn,15265
Michael Rensing,15266
Pedro Tonon Geromel,15272
Mitchell Weiser,15276
Christian Clemens,15278
Mato Jajalo,15280
Sławomir Peszko,15282
Sascha Riether,15284
Odise Roshi,15285
Mikael Ishak,15288
Lukas Podolski,15291
Mark Uth,15292
Uwe Hünemeier,15301
Leonardo Bittencourt,15317
Reinhold Yabo,15346
Marco Stiepermann,15352
André Hoffmann,15395
Daniel Brosinski,15399
Nicolas Höfler,15430
Max Grün,15444
Mërgim Mavraj,15449
Johannes Geis,15455
Felix Klaus,15456
Michael Hefele,15474
Janik Haberer,15487
Florian Niederlechner,15503
Alexander Stolz,15512
Hakan Çalhanoğlu,15524
Pascal Groß,15526
Marco Terrazzino,15533
Simon Zoller,15543
Kevin Möhwald,15591
